.\search-framework\target\release\sweep.exe : [sweep] n=200000 live=158 elapsed=11.0s
At line:3 char:1
+ .\search-framework\target\release\sweep.exe --lo 1 --hi 10000000 --ma ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: ([sweep] n=200000 live=158 elapsed=11.0s:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
[sweep] n=24000000 live=8 elapsed=39.0s
[sweep] n=24200000 live=8 elapsed=39.1s
[sweep] n=24400000 live=7 elapsed=39.2s
[sweep] n=24600000 live=7 elapsed=39.2s
[sweep] n=24800000 live=7 elapsed=39.3s
[sweep] n=25000000 live=7 elapsed=39.4s
[sweep] n=25200000 live=7 elapsed=39.5s
[sweep] n=25400000 live=7 elapsed=39.5s
[sweep] n=25600000 live=7 elapsed=39.6s
[sweep] n=25800000 live=7 elapsed=39.7s
[sweep] n=26000000 live=7 elapsed=39.8s
[sweep] n=26200000 live=7 elapsed=39.9s
[sweep] n=26400000 live=7 elapsed=39.9s
[sweep] n=26600000 live=7 elapsed=40.0s
[sweep] n=26800000 live=7 elapsed=40.1s
[sweep] n=27000000 live=7 elapsed=40.2s
[sweep] n=27200000 live=7 elapsed=40.2s
[sweep] n=27400000 live=7 elapsed=40.3s
[sweep] n=27600000 live=7 elapsed=40.4s
[sweep] n=27800000 live=7 elapsed=40.5s
[sweep] n=28000000 live=7 elapsed=40.6s
[sweep] n=28200000 live=7 elapsed=40.6s
[sweep] n=28400000 live=7 elapsed=40.7s
[sweep] n=28600000 live=7 elapsed=40.8s
[sweep] n=28800000 live=7 elapsed=40.9s
[sweep] n=29000000 live=7 elapsed=40.9s
[sweep] n=29200000 live=7 elapsed=41.0s
[sweep] n=29400000 live=7 elapsed=41.1s
[sweep] n=29600000 live=7 elapsed=41.2s
[sweep] n=29800000 live=7 elapsed=41.3s
[sweep] n=30000000 live=7 elapsed=41.3s
[sweep] n=30200000 live=7 elapsed=41.4s
[sweep] n=30400000 live=7 elapsed=41.5s
[sweep] n=30600000 live=7 elapsed=41.6s
[sweep] n=30800000 live=7 elapsed=41.7s
[sweep] n=31000000 live=7 elapsed=41.7s
[sweep] n=31200000 live=7 elapsed=41.8s
[sweep] n=31400000 live=7 elapsed=41.9s
[sweep] n=31600000 live=7 elapsed=42.0s
[sweep] n=31800000 live=7 elapsed=42.1s
[sweep] n=32000000 live=7 elapsed=42.2s
[sweep] n=32200000 live=7 elapsed=42.2s
[sweep] n=32400000 live=7 elapsed=42.3s
[sweep] n=32600000 live=7 elapsed=42.4s
[sweep] n=32800000 live=7 elapsed=42.5s
[sweep] n=33000000 live=7 elapsed=42.6s
[sweep] n=33200000 live=7 elapsed=42.6s
[sweep] n=33400000 live=7 elapsed=42.7s
[sweep] n=33600000 live=7 elapsed=42.8s
[sweep] n=33800000 live=7 elapsed=42.9s
[sweep] n=34000000 live=7 elapsed=43.0s
[sweep] n=34200000 live=7 elapsed=43.1s
[sweep] n=34400000 live=7 elapsed=43.1s
[sweep] n=34600000 live=7 elapsed=43.2s
[sweep] n=34800000 live=7 elapsed=43.3s
[sweep] n=35000000 live=7 elapsed=43.4s
[sweep] n=35200000 live=7 elapsed=43.5s
[sweep] n=35400000 live=7 elapsed=43.5s
[sweep] n=35600000 live=7 elapsed=43.6s
[sweep] n=35800000 live=7 elapsed=43.7s
[sweep] n=36000000 live=7 elapsed=43.8s
[sweep] n=36200000 live=7 elapsed=43.9s
[sweep] n=36400000 live=7 elapsed=43.9s
[sweep] n=36600000 live=7 elapsed=44.0s
[sweep] n=36800000 live=7 elapsed=44.1s
[sweep] n=37000000 live=7 elapsed=44.2s
[sweep] n=37200000 live=7 elapsed=44.3s
[sweep] n=37400000 live=7 elapsed=44.3s
[sweep] n=37600000 live=7 elapsed=44.4s
[sweep] n=37800000 live=7 elapsed=44.5s
[sweep] n=38000000 live=7 elapsed=44.6s
[sweep] n=38200000 live=7 elapsed=44.7s
[sweep] n=38400000 live=7 elapsed=44.8s
[sweep] n=38600000 live=7 elapsed=44.8s
[sweep] n=38800000 live=7 elapsed=44.9s
[sweep] n=39000000 live=7 elapsed=45.0s
[sweep] n=39200000 live=7 elapsed=45.1s
[sweep] n=39400000 live=7 elapsed=45.1s
[sweep] n=39600000 live=7 elapsed=45.2s
[sweep] n=39800000 live=7 elapsed=45.3s
[sweep] n=40000000 live=7 elapsed=45.4s
[sweep] n=40200000 live=7 elapsed=45.5s
[sweep] n=40400000 live=7 elapsed=45.5s
[sweep] n=40600000 live=7 elapsed=45.6s
[sweep] n=40800000 live=7 elapsed=45.7s
[sweep] n=41000000 live=7 elapsed=45.8s
[sweep] n=41200000 live=7 elapsed=45.9s
[sweep] n=41400000 live=7 elapsed=45.9s
[sweep] n=41600000 live=7 elapsed=46.0s
[sweep] n=41800000 live=7 elapsed=46.1s
[sweep] n=42000000 live=7 elapsed=46.2s
[sweep] n=42200000 live=7 elapsed=46.3s
[sweep] n=42400000 live=7 elapsed=46.3s
[sweep] n=42600000 live=7 elapsed=46.4s
[sweep] n=42800000 live=7 elapsed=46.5s
[sweep] n=43000000 live=7 elapsed=46.6s
[sweep] n=43200000 live=7 elapsed=46.7s
[sweep] n=43400000 live=7 elapsed=46.8s
[sweep] n=43600000 live=7 elapsed=46.8s
[sweep] n=43800000 live=7 elapsed=46.9s
[sweep] n=44000000 live=7 elapsed=47.0s
[sweep] n=44200000 live=7 elapsed=47.1s
[sweep] n=44400000 live=7 elapsed=47.2s
[sweep] n=44600000 live=7 elapsed=47.2s
[sweep] n=44800000 live=7 elapsed=47.3s
[sweep] n=45000000 live=7 elapsed=47.4s
[sweep] n=45200000 live=7 elapsed=47.5s
[sweep] n=45400000 live=7 elapsed=47.6s
[sweep] n=45600000 live=7 elapsed=47.6s
[sweep] n=45800000 live=6 elapsed=47.7s
[sweep] n=46000000 live=6 elapsed=47.8s
[sweep] n=46200000 live=6 elapsed=47.9s
[sweep] n=46400000 live=6 elapsed=47.9s
[sweep] n=46600000 live=6 elapsed=48.0s
[sweep] n=46800000 live=6 elapsed=48.1s
[sweep] n=47000000 live=6 elapsed=48.1s
[sweep] n=47200000 live=6 elapsed=48.2s
[sweep] n=47400000 live=6 elapsed=48.3s
[sweep] n=47600000 live=6 elapsed=48.3s
[sweep] n=47800000 live=6 elapsed=48.4s
[sweep] n=48000000 live=6 elapsed=48.5s
[sweep] n=48200000 live=6 elapsed=48.5s
[sweep] n=48400000 live=6 elapsed=48.6s
[sweep] n=48600000 live=6 elapsed=48.7s
[sweep] n=48800000 live=6 elapsed=48.8s
[sweep] n=49000000 live=6 elapsed=48.8s
[sweep] n=49200000 live=6 elapsed=48.9s
[sweep] n=49400000 live=6 elapsed=49.0s
[sweep] n=49600000 live=6 elapsed=49.0s
[sweep] n=49800000 live=6 elapsed=49.1s
[sweep] n=50000000 live=6 elapsed=49.2s
[sweep] n=50200000 live=6 elapsed=49.2s
[sweep] n=50400000 live=6 elapsed=49.3s
[sweep] n=50600000 live=6 elapsed=49.4s
[sweep] n=50800000 live=6 elapsed=49.4s
[sweep] n=51000000 live=6 elapsed=49.5s
[sweep] n=51200000 live=6 elapsed=49.6s
[sweep] n=51400000 live=6 elapsed=49.6s
[sweep] n=51600000 live=6 elapsed=49.7s
[sweep] n=51800000 live=6 elapsed=49.8s
[sweep] n=52000000 live=6 elapsed=49.9s
[sweep] n=52200000 live=6 elapsed=49.9s
[sweep] n=52400000 live=6 elapsed=50.0s
[sweep] n=52600000 live=6 elapsed=50.1s
[sweep] n=52800000 live=6 elapsed=50.1s
[sweep] n=53000000 live=6 elapsed=50.2s
[sweep] n=53200000 live=6 elapsed=50.3s
[sweep] n=53400000 live=6 elapsed=50.3s
[sweep] n=53600000 live=5 elapsed=50.4s
[sweep] n=53800000 live=5 elapsed=50.5s
[sweep] n=54000000 live=5 elapsed=50.5s
[sweep] n=54200000 live=5 elapsed=50.6s
[sweep] n=54400000 live=5 elapsed=50.6s
[sweep] n=54600000 live=5 elapsed=50.7s
[sweep] n=54800000 live=5 elapsed=50.7s
[sweep] n=55000000 live=5 elapsed=50.8s
[sweep] n=55200000 live=5 elapsed=50.9s
[sweep] n=55400000 live=5 elapsed=50.9s
[sweep] n=55600000 live=5 elapsed=51.0s
[sweep] n=55800000 live=5 elapsed=51.0s
[sweep] n=56000000 live=5 elapsed=51.1s
[sweep] n=56200000 live=5 elapsed=51.1s
[sweep] n=56400000 live=5 elapsed=51.2s
[sweep] n=56600000 live=5 elapsed=51.3s
[sweep] n=56800000 live=5 elapsed=51.3s
[sweep] n=57000000 live=5 elapsed=51.4s
[sweep] n=57200000 live=5 elapsed=51.4s
[sweep] n=57400000 live=5 elapsed=51.5s
[sweep] n=57600000 live=5 elapsed=51.5s
[sweep] n=57800000 live=5 elapsed=51.6s
[sweep] n=58000000 live=5 elapsed=51.7s
[sweep] n=58200000 live=5 elapsed=51.7s
[sweep] n=58400000 live=5 elapsed=51.8s
[sweep] n=58600000 live=5 elapsed=51.8s
[sweep] n=58800000 live=5 elapsed=51.9s
[sweep] n=59000000 live=5 elapsed=51.9s
[sweep] n=59200000 live=5 elapsed=52.0s
[sweep] n=59400000 live=5 elapsed=52.1s
[sweep] n=59600000 live=5 elapsed=52.1s
