m,t,c,b_t
1320111,327695231,81923126,26845817780735232
2283283,303967101,75990326,23098559174255252
1529233,133301871,33324063,4442159980545936
3350571,90502807,22627131,2047818892483848
2608579,89913893,22476689,2020966632216966
3454473,53497613,13374288,715492496948832
4219977,45761407,11440542,523535310203136
1464979,24235501,6058697,146835563260894
4697193,21892247,5473536,119828007548928
9149923,21654679,5412977,117216284782360
