t,c,witness_m,b_t
2,1,3,3
3,1,4,4
3,2,7,8
5,2,11,12
5,3,15,18
5,4,19,24
7,2,5,16
7,4,25,32
7,6,41,48
9,3,13,30
13,9,105,126
13,10,113,140
13,11,117,154
13,12,125,168
15,13,153,208
15,14,163,224
21,14,223,308
21,15,237,330
21,16,281,352
21,17,283,374
21,18,291,396
23,8,69,192
23,11,139,264
23,12,171,288
23,13,225,312
23,21,357,504
25,14,213,364
25,15,245,390
25,16,255,416
31,15,269,480
31,17,343,544
31,18,379,576
31,19,389,608
31,20,393,640
31,21,425,672
31,22,463,704
31,23,489,736
31,24,509,768
31,26,581,832
31,27,629,864
33,15,253,510
33,22,495,748
37,26,641,988
37,27,693,1026
37,28,721,1064
39,33,975,1320
39,34,979,1360
39,35,1041,1400
39,36,1049,1440
39,37,1099,1480
41,21,493,882
45,32,1071,1472
45,36,1169,1656
45,41,1417,1886
45,42,1459,1932
45,43,1469,1978
45,44,1481,2024
47,12,21,576
47,11,29,528
47,13,57,624
47,14,89,672
47,19,403,912
47,22,499,1056
47,27,785,1296
47,28,793,1344
47,29,859,1392
47,30,883,1440
47,31,919,1488
47,45,1589,2160
47,46,1633,2208
55,28,961,1568
55,46,1843,2576
55,49,1965,2744
55,50,2045,2800
55,51,2151,2856
55,54,2289,3024
57,40,1699,2320
63,52,2369,3328
63,53,2401,3392
65,42,1797,2772
69,64,3351,4480
71,31,1021,2232
71,33,1121,2376
71,35,1333,2520
71,36,1377,2592
79,78,4963,6240
85,76,4953,6536
85,77,5073,6622
87,66,4077,5808
87,67,4085,5896
87,70,4459,6160
87,71,4575,6248
87,78,5049,6864
87,79,5081,6952
87,80,5165,7040
89,58,3125,5220
89,61,3809,5490
93,72,4961,6768
93,73,4981,6862
93,77,5281,7238
93,82,5871,7708
93,83,5931,7802
93,92,6569,8648
95,82,5633,7872
95,83,5669,7968
95,84,5751,8064
95,85,5779,8160
95,87,5991,8352
95,86,6033,8256
95,89,6329,8544
97,41,1713,4018
97,42,1911,4116
103,35,749,3640
103,36,753,3744
103,66,4579,6864
103,65,4597,6760
103,67,4671,6968
103,68,4677,7072
103,86,6439,8944
103,87,6449,9048
103,93,7071,9672
103,94,7491,9776
105,35,905,3710
105,54,2899,5724
105,55,2909,5830
105,56,3051,5936
107,106,8743,11448
109,82,5981,9020
109,80,6051,8800
109,81,6065,8910
109,84,6089,9240
109,83,6103,9130
109,85,6269,9350
111,35,705,3920
111,34,801,3808
117,101,8281,11918
117,100,8581,11800
117,109,9517,12862
117,108,9585,12744
117,111,9717,13098
117,110,9725,12980
117,112,9735,13216
127,113,10433,14464
127,114,10977,14592
127,120,11203,15360
127,117,11211,14976
127,121,11513,15488
127,119,11571,15232
127,122,11793,15616
127,124,11833,15872
127,123,11889,15744
127,126,12043,16128
127,125,12237,16000
141,124,12809,17608
141,125,12965,17750
141,127,13177,18034
141,130,13417,18460
141,129,13433,18318
141,131,13639,18602
141,135,13671,19170
141,132,13761,18744
141,136,13953,19312
141,134,14169,19028
141,133,14179,18886
143,63,4011,9072
143,70,5217,10080
151,58,3101,8816
151,61,3345,9272
151,59,3463,8968
151,60,3593,9120
153,45,951,6930
153,102,10071,15708
155,154,18591,24024
159,60,3369,9600
159,61,3379,9760
159,97,9319,15520
159,125,13873,20000
159,131,15181,20960
159,152,17761,24320
159,146,17945,23360
159,147,18139,23520
161,65,4185,10530
161,64,4275,10368
161,93,8729,15066
161,92,8769,14904
167,122,13553,20496
167,123,13829,20664
167,128,14655,21504
167,130,14757,21840
167,129,15545,21672
173,142,17753,24708
173,140,18129,24360
173,141,18233,24534
173,157,19701,27318
175,67,4321,11792
175,70,4773,12320
175,69,5009,12144
175,92,8817,16192
175,93,8835,16368
175,94,8849,16544
175,95,8923,16720
175,96,9079,16896
175,97,9703,17072
175,98,9741,17248
175,101,10041,17776
175,102,10063,17952
175,100,10399,17600
175,103,10589,18128
175,104,10593,18304
175,105,10695,18480
175,106,11683,18656
183,67,3615,12328
183,167,22491,30728
183,169,23105,31096
183,171,23441,31464
185,56,1543,10416
185,80,6351,14880
185,81,6393,15066
191,73,5293,14016
191,74,5415,14208
191,85,6893,16320
191,84,7073,16128
191,101,10857,19392
193,85,7425,16490
193,107,12135,20758
193,110,12261,21340
193,109,12417,21146
193,129,15485,25026
193,126,16551,24444
199,73,5169,14600
199,124,14871,24800
201,73,5133,14746
201,104,11405,21008
201,105,11419,21210
201,107,11533,21614
201,106,11849,21412
201,109,12163,22018
201,108,12231,21816
201,110,12333,22220
201,112,12499,22624
201,111,12597,22422
201,116,13329,23432
201,119,14609,24038
201,123,15019,24846
201,124,15097,25048
205,181,26697,37286
207,65,1977,13520
213,158,22873,33812
213,164,23489,35096
213,159,23743,34026
213,162,24231,34668
213,161,24601,34454
215,126,15929,27216
215,125,16349,27000
215,127,16569,27432
215,128,16617,27648
215,129,16753,27864
215,130,16865,28080
215,131,16869,28296
215,180,29091,38880
215,181,29233,39096
217,55,177,11990
217,57,513,12426
217,56,523,12208
217,58,593,12644
217,59,1431,12862
217,61,1649,13298
217,62,1685,13516
217,60,1709,13080
217,64,1841,13952
217,63,2001,13734
217,66,2157,14388
217,65,2249,14170
217,103,10413,22454
217,136,17239,29648
217,138,18461,30084
217,139,18509,30302
217,141,18777,30738
217,146,20331,31828
221,166,25971,36852
221,167,26037,37074
221,205,33365,45510
221,206,33717,45732
221,209,34893,46398
221,214,35189,47508
223,170,25159,38080
223,175,26143,39200
223,165,26165,36960
223,180,27365,40320
223,179,27705,40096
223,181,27905,40544
223,183,28113,40992
223,184,28123,41216
223,182,28183,40768
223,185,28321,41440
223,190,30679,42560
223,194,30739,43456
229,197,32669,45310
229,223,38701,51290
229,224,38877,51520
229,227,39653,52210
231,116,14623,26912
231,117,14697,27144
231,125,16561,29000
245,183,30725,45018
245,185,30993,45510
245,197,33561,48462
245,203,34445,49938
245,226,41331,55596
245,227,42141,55842
247,188,31181,46624
247,189,31275,46872
247,205,35659,50840
249,75,3831,18750
249,77,4625,19250
249,79,4851,19750
249,133,18213,33250
249,135,18457,33750
249,137,18989,34250
249,134,19613,33500
249,145,21601,36250
253,189,31861,48006
253,191,32623,48514
253,190,32817,48260
253,193,33471,49022
255,247,49093,63232
263,89,5613,23496
263,92,6457,24288
269,213,40889,57510
269,214,41211,57780
277,241,49993,66998
277,248,52709,68944
277,249,52981,69222
279,133,17151,37240
279,134,17369,37520
279,130,17765,36400
279,138,18965,38640
279,136,19393,38080
279,137,19423,38360
279,135,19519,37800
287,95,7473,27360
287,96,7773,27648
287,99,7879,28512
287,102,8013,29376
287,100,8061,28800
287,101,8419,29088
287,103,9051,29664
287,105,9249,30240
287,104,9345,29952
287,108,11101,31104
287,107,11241,30816
287,164,25141,47232
287,170,26877,48960
287,168,26931,48384
287,165,26997,47520
287,166,27009,47808
287,169,27033,48672
287,167,27041,48096
287,160,27329,46080
287,205,39679,59040
287,207,40791,59616
287,210,41181,60480
289,72,193,20880
289,73,209,21170
289,74,333,21460
289,76,673,22040
289,191,34851,55390
289,192,35373,55680
289,193,35377,55970
289,200,37137,58000
289,202,37377,58580
289,201,37425,58290
289,203,37617,58870
289,206,37663,59740
289,207,37723,60030
289,205,37921,59450
289,210,41261,60900
293,261,55875,76734
293,280,60657,82320
293,281,60771,82614
295,128,16829,37888
295,213,42237,63048
295,222,43777,65712
295,221,44385,65416
295,262,58409,77552
297,96,5557,28608
297,107,9831,31886
297,109,10335,32482
297,108,10431,32184
297,112,10819,33376
297,111,11121,33078
297,131,17081,39038
297,132,17331,39336
297,134,18065,39932
297,135,18079,40230
297,136,18297,40528
297,153,23211,45594
297,152,23321,45296
297,154,23617,45892
297,150,24253,44700
297,151,24309,44998
297,163,25099,48574
297,188,35433,56024
297,187,35765,55726
301,235,49237,70970
301,234,49257,70668
301,230,49311,69460
301,231,49423,69762
301,240,50659,72480
301,229,50697,69158
311,229,48369,71448
313,171,31121,53694
317,298,70529,94764
319,272,63969,87040
319,291,67377,93120
319,290,67437,92800
319,305,71673,97600
319,313,73177,100160
319,300,73229,96000
319,301,73233,96320
319,316,73483,101120
319,315,73639,100800
319,314,73671,100480
319,317,74085,101440
319,312,74173,99840
319,318,74539,101760
321,115,11383,37030
335,107,8173,35952
335,114,10485,38304
335,112,10677,37632
335,113,10829,37968
335,115,11113,38640
335,223,48393,74928
335,224,48957,75264
335,267,63573,89712
341,308,75333,105336
341,307,75403,104994
341,311,76579,106362
341,310,76677,106020
341,312,77169,106704
341,313,77265,107046
341,309,77533,105678
341,314,77649,107388
341,315,77715,107730
341,316,77769,108072
343,146,21259,50224
343,148,21749,50912
343,149,21777,51256
343,150,21965,51600
343,160,24813,55040
343,161,26203,55384
343,162,26337,55728
343,164,26921,56416
343,165,27089,56760
343,163,27291,56072
343,166,28469,57104
343,167,28533,57448
343,180,32683,61920
343,181,32773,62264
343,182,32779,62608
343,183,33305,62952
343,184,33653,63296
343,186,34153,63984
343,200,39823,68800
343,201,39957,69144
373,333,89697,124542
373,370,102013,138380
373,369,102581,138006
373,372,103813,139128
373,371,103815,138754
375,204,41921,76704
375,205,42069,77080
375,203,42763,76328
375,206,43215,77456
377,240,55663,90720
381,313,85339,119566
381,312,87591,119184
383,149,21255,57216
383,153,21921,58752
383,156,22519,59904
383,157,22529,60288
383,158,22657,60672
383,152,22709,58368
383,154,24171,59136
383,163,24877,62592
383,160,25269,61440
383,161,25731,61824
383,162,26655,62208
383,167,27553,64128
383,168,27739,64512
383,171,27869,65664
383,170,29653,65280
383,191,37513,73344
383,192,38285,73728
383,201,40077,77184
383,207,41941,79488
383,203,42531,77952
383,213,44413,81792
383,209,44649,80256
383,211,44895,81024
383,204,45435,78336
383,219,45531,84096
383,217,46985,83328
383,214,47653,82176
383,307,82095,117888
383,308,82581,118272
383,316,83313,121344
383,317,84297,121728
383,318,84381,122112
383,320,84463,122880
383,321,92013,123264
383,322,92685,123648
383,364,101295,139776
383,370,104503,142080
383,379,108161,145536
385,96,1409,37056
385,123,8913,47478
385,155,21729,59830
385,156,22243,60216
385,154,23895,59444
385,162,25063,62532
385,161,25219,62146
385,163,25423,62918
385,160,25455,61760
385,159,25663,61374
385,169,28695,65234
385,167,29479,64462
385,174,30111,67164
385,175,30231,67550
385,173,31021,66778
385,177,31971,68322
385,196,37491,75656
385,197,37529,76042
385,199,37573,76814
385,200,37861,77200
385,202,38405,77972
385,192,38659,74112
385,201,39809,77586
385,204,40049,78744
385,198,40149,76428
385,203,41511,78358
385,209,43843,80674
385,210,44025,81060
385,262,64121,101132
385,265,64917,102290
385,266,65031,102676
385,267,65115,103062
385,263,65263,101518
385,264,65383,101904
385,268,65461,103448
385,278,70279,107308
385,279,70639,107694
385,280,70671,108080
385,281,71273,108466
385,282,72471,108852
391,102,241,39984
391,103,313,40376
391,98,453,38416
391,99,477,38808
391,107,2529,41944
391,306,81981,119952
391,307,82181,120344
391,316,84477,123872
391,313,84545,122696
391,315,84591,123480
391,310,84909,121520
391,314,85879,123088
391,352,100633,137984
391,357,101391,139944
391,356,101539,139552
393,187,36697,73678
397,97,1,38606
397,98,679,39004
397,306,85661,121788
397,313,86381,124574
397,318,87653,126564
397,314,88469,124972
397,321,88677,127758
397,319,88689,126962
397,320,88783,127360
397,316,89503,125768
397,317,89641,126166
397,310,90979,123380
397,311,91841,123778
397,326,94829,129748
397,325,94993,129350
399,110,3417,44000
399,111,3477,44400
399,113,3965,45200
399,112,4169,44800
399,114,4221,45600
405,351,101913,142506
405,350,102521,142100
405,382,114319,155092
405,383,114919,155498
405,384,116997,155904
405,386,117277,156716
405,385,117291,156310
405,387,117305,157122
405,388,117541,157528
407,172,27919,70176
407,171,28077,69768
407,176,29561,71808
407,175,30583,71400
407,178,31929,72624
407,183,32945,74664
407,184,32983,75072
407,186,33643,75888
407,185,33703,75480
407,187,34033,76296
407,193,37953,78744
407,194,38129,79152
407,199,39037,81192
407,204,41503,83232
407,206,43513,84048
407,207,43625,84456
407,208,43773,84864
407,216,45905,88128
407,217,46829,88536
409,301,81817,123410
409,302,83253,123820
415,132,15189,54912
415,133,15343,55328
415,135,15513,56160
415,140,16219,58240
415,250,59561,104000
415,249,60117,103584
415,248,60799,103168
415,261,62045,108576
415,265,65685,110240
415,264,65973,109824
415,361,109459,150176
415,381,114103,158496
415,382,114703,158912
417,211,44779,88198
417,213,44893,89034
417,214,45735,89452
421,356,104613,150232
421,358,106191,151076
421,360,106237,151920
421,357,106699,150654
421,361,107181,152342
425,279,75793,118854
425,280,76665,119280
431,342,99353,147744
431,343,99471,148176
431,344,99763,148608
431,340,101521,146880
431,341,103575,147312
439,190,36525,83600
439,189,37053,83160
441,328,96057,144976
441,326,96073,144092
449,286,77839,128700
449,285,77945,128250
449,287,78453,129150
481,176,24953,84832
481,172,25003,82904
481,175,26391,84350
481,173,26475,83386
481,292,82785,140744
481,299,87341,144118
487,131,5225,63928
487,430,148173,209840
487,429,148251,209352
487,427,154035,208376
487,428,156189,208864
487,462,162721,225456
487,471,169159,229848
489,175,24321,85750
489,174,24343,85260
489,178,28603,87220
489,179,28611,87710
489,180,28713,88200
489,229,54689,112210
489,236,56037,115640
489,237,56151,116130
489,239,57823,117110
489,243,60593,119070
489,296,87319,145040
489,295,87389,144550
489,298,87905,146020
489,299,87951,146510
489,300,88201,147000
489,297,89241,145530
489,290,90973,142100
489,313,93057,153370
489,316,93199,154840
489,315,93375,154350
489,314,93393,153860
489,317,93413,155330
489,318,93417,155820
489,319,94001,156310
489,324,98713,158760
489,327,101225,160230
493,382,127813,188708
493,383,127905,189202
501,378,126313,189756
503,261,66753,131544
503,260,67671,131040
503,273,72281,137592
503,274,72341,138096
503,275,74413,138600
503,276,74899,139104
503,288,82421,145152
503,417,148205,210168
503,419,148993,211176
503,420,149391,211680
503,418,151303,210672
503,414,154243,208656
503,415,154399,209160
503,429,159097,216216
503,428,159885,215712
505,130,3297,65780
509,393,132921,200430
509,392,135231,199920
511,472,182909,241664
511,473,184049,242176
511,503,202035,257536
511,502,202971,257024
513,227,52137,116678
519,132,135,68640
535,227,49939,121672
535,358,121781,191888
543,486,190491,264384
543,490,195945,266560
543,489,196093,266016
543,492,197419,267648
543,495,208173,269280
543,530,214911,288320
545,223,44833,121758
545,224,45633,122304
545,317,94373,173082
545,316,94453,172536
545,318,96499,173628
545,315,96549,171990
545,319,97753,174174
549,413,151109,227150
549,416,151593,228800
549,415,151805,228250
549,417,151819,229350
549,418,151857,229900
549,412,152083,226600
549,414,152235,227700
549,420,152383,231000
549,422,152793,232100
549,424,154071,233200
549,428,154095,235400
549,425,154385,233750
549,426,157557,234300
549,427,157617,234850
549,429,158225,235950
549,419,160065,230450
549,433,160843,238150
549,434,160875,238700
549,437,162217,240350
549,435,164037,239250
549,436,164377,239800
549,439,164553,241450
549,440,164563,242000
549,441,164743,242550
549,442,166353,243100
549,443,166685,243650
549,462,176383,254100
549,463,176401,254650
549,464,177253,255200
549,465,182331,255750
567,344,114513,195392
569,290,91145,165300
581,451,186957,262482
581,452,187093,263064
581,517,218383,300894
581,518,218397,301476
581,520,218893,302640
581,519,218917,302058
581,521,222135,303222
581,534,223569,310788
581,537,224849,312534
581,535,224871,311370
581,538,224983,313116
581,531,225231,309042
581,539,227377,313698
581,556,250713,323592
583,215,38917,125560
583,213,39185,124392
583,372,132433,217248
583,373,132657,217832
583,488,199363,284992
583,476,200599,277984
583,498,206881,290832
583,499,208305,291416
583,507,209031,296088
583,502,209119,293168
583,508,211329,296672
583,512,213739,299008
583,514,214089,300176
583,517,214575,301928
583,515,214597,300760
583,519,214813,303096
583,520,215211,303680
583,521,215353,304264
583,518,215391,302512
583,513,215489,299592
583,516,215493,301344
583,543,232317,317112
583,545,234729,318280
583,557,242409,325288
583,573,246217,334632
583,579,250605,338136
583,578,250821,337552
583,580,251083,338720
583,581,251133,339304
585,340,111993,199240
591,233,49155,137936
591,235,49903,139120
591,234,50299,138528
591,236,51345,139712
591,237,51389,140304
591,238,51739,140896
591,241,53721,142672
591,242,54753,143264
591,274,71857,162208
591,275,75393,162800
591,326,107337,192992
591,327,107353,193584
591,328,107733,194176
591,330,107789,195360
591,329,107865,194768
591,332,111591,196544
601,183,22011,110166
601,184,22953,110768
601,186,24937,111972
601,185,26525,111370
601,194,29211,116788
601,197,30989,118594
601,198,31089,119196
601,200,32083,120400
601,205,33473,123410
601,206,34613,124012
601,418,161757,251636
601,420,162171,252840
601,419,162253,252238
605,583,263153,353298
605,588,263429,356328
605,589,265169,356934
605,590,266511,357540
605,587,266599,355722
605,591,266673,358146
607,296,88123,179968
607,297,88221,180576
607,298,88441,181184
607,300,90061,182400
607,475,196077,288800
607,476,197549,289408
607,478,197623,290624
607,477,198375,290016
607,479,200271,291232
607,474,207711,288192
607,523,229515,317984
609,251,56751,153110
609,252,57771,153720
609,257,62203,156770
609,258,62261,157380
609,259,63813,157990
609,256,64113,156160
609,254,64685,154940
615,278,74419,171248
615,337,114411,207592
637,495,220869,315810
653,539,245705,352506
653,538,246509,351852
653,607,288111,396978
653,610,290233,398940
653,611,290959,399594
655,310,94865,203360
655,311,95353,204016
655,312,97515,204672
655,370,131541,242720
655,474,200941,310944
655,476,204601,312256
655,475,204831,311600
663,170,1957,112880
663,182,4663,120848
663,176,4713,116864
663,187,6619,124168
663,173,6661,114872
663,186,6697,123504
663,174,8529,115536
663,195,17353,129480
663,455,194873,302120
663,456,194981,302784
663,479,209557,318056
663,483,211693,320712
663,480,213177,318720
671,313,91545,210336
671,316,94681,212352
671,314,94759,211008
671,315,97665,211680
671,320,100575,215040
671,319,104081,214368
677,634,311025,429852
677,673,344201,456294
679,491,217421,333880
679,492,217977,334560
679,504,226125,342720
679,506,227165,344080
679,502,227733,341360
679,503,227743,342040
679,505,228283,343400
679,576,291021,391680
679,575,291711,391000
679,634,316125,431120
679,635,316237,431800
681,236,45043,160952
681,237,45103,161634
681,243,48643,165726
685,575,275621,394450
685,576,276613,395136
685,592,284069,406112
685,593,285165,406798
687,417,174763,286896
687,498,228241,342624
687,499,228609,343312
687,505,228979,347440
687,506,228989,348128
687,502,229353,345376
687,503,229409,346064
687,500,229617,344000
687,501,229685,344688
687,504,232671,346752
687,507,235311,348816
687,526,243313,361888
687,527,244985,362576
695,388,146817,270048
695,409,165129,284664
695,408,165429,283968
695,410,165975,285360
695,419,175313,291624
695,436,179705,303456
695,435,180933,302760
695,437,181521,304152
695,417,182069,290232
697,208,28709,145184
697,234,40191,163332
697,439,188803,306422
705,193,13363,136258
705,195,13723,137670
705,201,17913,141906
705,202,18163,142612
705,434,178731,306404
705,433,179031,305698
705,437,179345,308522
705,435,180075,307110
705,436,180353,307816
705,460,209263,324760
711,583,285237,415096
711,582,286565,414384
711,589,287571,419368
711,590,288365,420080
727,209,24929,152152
727,244,44345,177632
727,247,46017,179816
727,250,46913,182000
727,251,47045,182728
727,252,48559,183456
727,253,48813,184184
727,255,48933,185640
727,256,49049,186368
727,257,51221,187096
727,258,55257,187824
727,259,55377,188552
727,254,55579,184912
727,260,57413,189280
727,261,58761,190008
727,351,124311,255528
727,501,234531,364728
727,505,235649,367640
727,500,239889,364000
729,440,189343,321200
729,515,242023,375950
729,516,242041,376680
729,517,243231,377410
733,566,292603,415444
741,647,338353,480074
741,652,340209,483784
741,657,342537,487494
741,655,344789,486010
741,651,345741,483042
741,658,348005,488236
741,663,348489,491946
741,653,362525,484526
741,654,365373,485268
751,206,9957,154912
751,207,10293,155664
751,208,11023,156416
751,226,30477,169952
751,223,30929,167696
751,224,31025,168448
751,225,33231,169200
759,446,190773,338960
759,448,191249,340480
759,447,191457,339720
759,449,192817,341240
759,451,192853,342760
759,450,192861,342000
759,466,208903,354160
759,467,209023,354920
759,465,210485,353400
759,461,211755,350360
759,462,212249,351120
759,464,213253,352640
765,613,323217,469558
765,616,325121,471856
765,622,331813,476452
765,623,333861,477218
769,342,112845,263340
769,343,113211,264110
769,339,113409,261030
769,341,114439,262570
769,345,115529,265650
769,347,116055,267190
769,340,117389,261800
769,346,118925,266420
769,344,119959,264880
769,440,190303,338800
769,441,191181,339570
769,436,199565,335720
769,475,214081,365750
769,476,218151,366520
769,477,218217,367290
769,469,221273,361130
769,470,226661,361900
775,195,3269,151320
775,224,23151,173824
775,543,272181,421368
775,548,276291,425248
775,550,277783,426800
775,554,278013,429904
775,552,278141,428352
775,551,278217,427576
775,553,278331,429128
775,544,289449,422144
781,603,320143,471546
781,604,324473,472328
781,606,324531,473892
781,605,324711,473110
781,608,325215,475456
781,607,325617,474674
789,626,342345,494540
789,771,455229,609090
789,776,461193,613040
789,778,464077,614620
789,777,464373,613830
789,775,465449,612250
791,708,410877,560736
791,711,416985,563112
791,712,417633,563904
799,205,7095,164000
799,206,7603,164800
799,216,14309,172800
799,215,15689,172000
799,240,35391,192000
799,249,36793,199200
799,310,87573,248000
799,312,89517,249600
799,315,90641,252000
799,320,91721,256000
799,321,91925,256800
799,319,92037,255200
799,311,92137,248800
799,314,92239,251200
799,322,92353,257600
799,317,92475,253600
799,331,99269,264800
799,326,99345,260800
799,327,101091,261600
799,332,101505,265600
799,325,103469,260000
799,423,180429,338400
799,424,183471,339200
799,469,213221,375200
799,470,218981,376000
799,476,219837,380800
799,477,221419,381600
799,473,221631,378400
799,474,221733,379200
799,475,221953,380000
799,471,222253,376800
799,479,222785,383200
799,472,223057,377600
799,478,225009,382400
799,480,225465,384000
799,481,226869,384800
799,483,231457,386400
799,486,232423,388800
799,484,233151,387200
799,485,233295,388000
799,487,234941,389600
799,509,240725,407200
799,507,240933,405600
799,510,241001,408000
799,511,250505,408800
799,508,252177,406400
799,514,253805,411200
799,515,253853,412000
799,513,254779,410400
799,533,264679,426400
799,530,265821,424000
799,531,265857,424800
799,532,266645,425600
799,537,271961,429600
799,539,276093,431200
801,525,257373,421050
807,553,284839,446824
807,554,286941,447632
807,555,287781,448440
807,556,290645,449248
807,557,301505,450056
807,558,301985,450864
807,572,303245,462176
807,573,303477,462984
807,570,303725,460560
807,579,311931,467832
807,581,315121,469448
807,589,318051,475912
807,580,321961,468640
807,639,357435,516312
807,658,366297,531664
807,657,366421,530856
807,660,366941,533280
807,656,367261,530048
807,655,367399,529240
807,659,367929,532472
807,661,368175,534088
807,718,445461,580144
813,711,414721,578754
813,710,415053,577940
813,712,415183,579568
813,717,418197,583638
813,719,421197,585266
813,716,421333,582824
813,720,422025,586080
813,721,422091,586894
813,718,427561,584452
813,722,427733,587708
813,723,428157,588522
813,727,428493,591778
813,724,429161,589336
813,725,429643,590150
813,728,430653,592592
825,280,52841,231280
825,284,60813,234584
833,407,160385,339438
833,408,161021,340272
833,410,164713,341940
833,453,215691,377802
853,806,504199,688324
853,807,506693,689178
861,705,414351,607710
861,703,415453,605986
861,704,417273,606848
861,709,419369,611158
861,707,419829,609434
861,708,424903,610296
865,310,78433,268460
865,309,80145,267594
865,322,90883,278852
865,343,107841,297038
865,345,108605,298770
865,347,110681,300502
865,378,136473,327348
865,487,236945,421742
865,511,258679,442526
865,510,258905,441660
865,561,299457,485826
865,560,316553,484960
871,459,207651,400248
871,460,209683,401120
871,726,448153,633072
871,725,449059,632200
871,829,528975,722888
871,831,530489,724632
871,832,532257,725504
871,830,533337,723760
871,822,535677,716784
871,821,536521,715912
871,824,537905,718528
871,834,538993,727248
871,836,539299,728992
871,835,540305,728120
871,833,541949,726376
871,837,542933,729864
873,306,82063,267444
873,319,88685,278806
873,318,88797,277932
873,322,88809,281428
873,321,90513,280554
873,329,91509,287546
873,320,92385,279680
873,325,93609,284050
873,332,103533,290168
873,333,104997,291042
873,410,162531,358340
873,411,162537,359214
873,408,165221,356592
873,452,204233,395048
873,567,298377,495558
873,568,300581,496432
873,566,302863,494684
873,559,308817,488566
875,874,570373,765624
879,507,252293,446160
879,508,252297,447040
887,335,96015,297480
887,333,97589,295704
887,334,97625,296592
887,339,99051,301032
887,340,99153,301920
887,336,100949,298368
887,342,102799,303696
887,343,103061,304584
887,346,108569,307248
887,393,147111,348984
887,391,147435,347208
887,392,150499,348096
887,395,150597,350760
887,394,151033,349872
887,485,241841,430680
887,483,243177,428904
887,486,245091,431568
887,484,245761,429792
887,487,246525,432456
887,546,297485,484848
887,787,539109,698856
887,788,540789,699744
889,396,154421,352440
889,664,401705,590960
903,592,323899,535168
903,591,324043,534264
903,593,324821,536072
903,596,329645,538784
903,599,333853,541496
903,595,336329,537880
903,611,349971,552344
903,617,353923,557768
903,615,357545,555960
903,618,360849,558672
903,621,364335,561384
903,620,364529,560480
903,622,364569,562288
903,623,367173,563192
903,740,469737,668960
903,739,491977,668056
903,778,497923,703312
903,780,506553,705120
903,779,507929,704216
903,792,519245,715968
903,793,520477,716872
909,838,548323,762580
919,718,449469,660560
919,740,465079,680800
919,736,467009,677120
919,738,467013,678960
919,737,470613,678040
919,739,471337,679880
919,745,471777,685400
919,741,472573,681720
919,730,474693,671600
919,731,474795,672520
919,780,510693,717600
929,558,298221,518940
929,556,299525,517080
929,564,305309,524520
929,563,305863,523590
929,580,327389,539400
929,581,330573,540330
929,583,331929,542190
929,589,333223,547770
929,590,333975,548700
929,596,337889,554280
929,595,338197,553350
929,600,338481,558000
929,601,338813,558930
929,597,339597,555210
929,598,341105,556140
929,602,353203,559860
929,603,354029,560790
933,748,481353,698632
933,749,482263,699566
933,746,484721,696764
933,750,485997,700500
933,747,488141,697698
933,751,489521,701434
933,755,489817,705170
933,752,490085,702368
933,753,490113,703302
933,757,491805,707038
933,788,517725,735992
933,789,518273,736926
959,777,520325,745920
959,779,522757,747840
959,778,522993,746880
959,811,552041,778560
959,776,552537,744960
959,839,584571,805440
959,838,585209,804480
965,741,484245,715806
965,746,487617,720636
965,869,626285,839454
967,844,588713,816992
967,847,592603,819896
967,894,633401,865392
975,351,114171,342576
1001,330,75369,330660
1001,332,76005,332664
1001,331,76371,331662
1001,333,76663,333666
1001,328,77661,328656
1001,361,110393,361722
1001,360,110609,360720
1001,362,111495,362724
1001,363,111545,363726
1001,365,114079,365730
1001,359,114259,359718
1001,367,119645,367734
1001,618,367265,619236
1001,620,368637,621240
1001,621,369277,622242
1001,622,370269,623244
1001,619,377059,620238
1001,646,387233,647292
1001,647,392593,648294
1001,648,392609,649296
1001,645,392631,646290
1001,649,393079,650298
1001,650,397173,651300
1001,643,397575,644286
1001,644,397699,645288
1001,651,398143,652302
1001,652,398189,653304
1001,653,398877,654306
1001,654,399753,655308
1001,657,401429,658314
1001,656,403543,657312
1001,655,407309,656310
1005,820,566713,824920
1013,905,663439,917670
1013,913,666343,925782
1013,927,688573,939978
1013,926,721301,938964
1015,420,166575,426720
1015,422,177149,428752
1015,449,198673,456184
1015,447,200031,454152
1015,466,210061,473456
1015,461,210523,468376
1015,463,211039,470408
1015,464,213037,471424
1015,462,213283,469392
1015,470,220561,477520
1015,512,276461,520192
1015,511,280911,519176
1015,515,283423,523240
1015,514,285513,522224
1015,545,310137,553720
1015,534,310699,542544
1015,535,312393,543560
1015,811,573837,823976
1015,812,574377,824992
1015,810,575433,822960
1015,814,577177,827024
1015,813,578017,826008
1015,815,578899,828040
1015,816,581833,829056
1015,817,581985,830072
1015,851,603061,864616
1015,852,603711,865632
1015,854,610917,867664
1015,853,611031,866648
1023,860,628251,880640
1023,1014,801319,1038336
1023,1013,801785,1037312
1039,551,303933,573040
1039,557,304219,579280
1039,558,304999,580320
1039,552,307797,574080
1039,560,309343,582400
1039,559,309919,581360
1039,562,311081,584480
1039,563,311789,585520
1039,561,317779,583440
1039,547,319949,568880
1047,345,89933,361560
1047,857,629377,898136
1049,781,547593,820050
1061,897,663845,952614
1071,712,480105,763264
1071,713,480859,764336
1071,723,482121,775056
1071,725,484629,777200
1071,726,485913,778272
1089,777,544381,846930
