rank,t,c,witness_m,b_t,c_over_t
900,15063,3889,2035399,58583896,0.258182301
901,15063,3959,2202089,59638376,0.262829450
902,15063,3961,2847357,59668504,0.262962225
903,15063,3963,2980333,59698632,0.263095001
904,15063,3962,3046293,59683568,0.263028613
905,14743,3852,1911837,56793888,0.261276538
906,14743,3851,1916257,56779144,0.261208709
907,14743,3850,1993769,56764400,0.261140880
908,14743,3837,2086843,56572728,0.260259106
909,14743,3836,2092301,56557984,0.260191277
910,14743,3838,2095941,56587472,0.260326935
911,14743,3834,2106117,56528496,0.260055620
912,14743,3845,2149185,56690680,0.260801736
913,14743,3846,2172905,56705424,0.260869565
914,14743,3847,2434663,56720168,0.260937394
915,14743,3843,2460973,56661192,0.260666079
916,14743,3856,2557617,56852864,0.261547853
917,14743,3857,2577125,56867608,0.261615682
918,14743,3849,2604897,56749656,0.261073052
919,14743,3821,2837917,56336824,0.259173845
920,14743,3861,2943199,56926584,0.261886997
921,14743,3859,3041623,56897096,0.261751340
922,14743,3864,3132989,56970816,0.262090484
923,14719,3787,1600325,55744640,0.257286500
924,14719,3788,1624339,55759360,0.257354440
925,14671,3942,4260501,57837024,0.268693341
926,14671,3972,4691655,58277184,0.270738191
927,14671,3953,4862145,57998416,0.269443119
928,14671,3971,4965181,58262512,0.270670029
929,14625,3854,2509297,56368604,0.263521368
930,14625,3857,2514473,56412482,0.263726496
931,14625,3853,2525553,56353978,0.263452991
932,14625,3855,2918013,56383230,0.263589744
933,14625,3860,3074693,56456360,0.263931624
934,14625,3861,3082731,56470986,0.264000000
935,14625,3862,3145911,56485612,0.264068376
936,14625,3878,3149289,56719628,0.265162393
937,14625,3883,3198411,56792758,0.265504274
938,14625,3881,3260691,56763506,0.265367521
939,14625,3863,3318465,56500238,0.264136752
940,14625,3884,3391861,56807384,0.265572650
941,14625,3868,3512083,56573368,0.264478632
942,14625,3867,3516139,56558742,0.264410256
943,14625,3869,3556797,56587994,0.264547009
944,14625,3916,3604173,57275416,0.267760684
945,14625,3915,3609733,57260790,0.267692308
946,14625,3872,3633173,56631872,0.264752137
947,14625,3914,3690651,57246164,0.267623932
948,14447,3960,4792033,57214080,0.274105351
949,14447,3967,4887393,57315216,0.274589880
950,14447,3969,4960473,57344112,0.274728317
951,14447,3968,5075705,57329664,0.274659099
952,14447,3966,5081397,57300768,0.274520662
953,14447,3958,5124909,57185184,0.273966914
954,14447,3959,5139365,57199632,0.274036132
955,14447,3949,5159009,57055152,0.273343947
956,14447,3957,5215453,57170736,0.273897695
957,14447,3962,5318473,57242976,0.274243788
958,14447,3948,5342321,57040704,0.273274728
959,14447,3952,5382043,57098496,0.273551602
960,14447,3953,5654083,57112944,0.273620821
961,14447,3972,5699969,57387456,0.274935973
962,14447,3971,5704193,57373008,0.274866754
963,14447,3955,5824377,57141840,0.273759258
964,14447,4202,8288549,60710496,0.290856233
965,14447,4201,8292343,60696048,0.290787015
966,14447,4203,8295809,60724944,0.290925452
967,14361,3929,4935293,56428298,0.273588190
968,14361,3928,5175313,56413936,0.273518557
969,14361,4005,5966055,57519810,0.278880301
970,14361,3996,6027689,57390552,0.278253604
971,14233,3571,223759,50829614,0.250895806
972,14233,3611,267101,51398974,0.253706176
973,14233,3610,275013,51384740,0.253635917
974,14233,3609,447249,51370506,0.253565657
975,14233,3608,587037,51356272,0.253495398
976,14233,3606,1010595,51327804,0.253354880
977,14233,3622,1259533,51555548,0.254479028
978,14209,3613,919519,51340730,0.254275459
979,14209,3612,1001261,51326520,0.254205081
980,13983,3497,82445,48902048,0.250089394
981,13983,3496,82813,48888064,0.250017879
982,13983,3498,139209,48916032,0.250160910
983,13945,4097,8625357,57136762,0.293797060
984,13945,4077,8663225,56857842,0.292362854
985,13945,4099,8713573,57164654,0.293940480
986,13945,4111,8720145,57332006,0.294801004
987,13945,4078,8737933,56871788,0.292434564
988,13945,4156,8788843,57959576,0.298027967
989,13945,4093,8790523,57080978,0.293510219
990,13945,4140,8881785,57736440,0.296880602
991,13945,4095,8928079,57108870,0.293653639
992,13945,4123,9087629,57499358,0.295661527
993,13945,4112,9137825,57345952,0.294872714
994,13945,4131,9173277,57610926,0.296235210
995,13945,4132,9173673,57624872,0.296306920
996,13945,4122,9308119,57485412,0.295589817
997,13945,4121,9344081,57471466,0.295518107
998,13945,4151,9576601,57889846,0.297669416
999,13945,4113,9619385,57359898,0.294944425
1000,13921,3608,1778461,50230576,0.259176783
1001,13921,3700,2785197,51511400,0.265785504
1002,13921,3699,2790351,51497478,0.265713670
1003,13921,3857,4897961,53697154,0.277063429
1004,13921,3859,5006293,53724998,0.277207097
1005,13881,3905,6074165,54209210,0.281319790
1006,13881,3904,6348777,54195328,0.281247749
1007,13881,3906,6449841,54223092,0.281391831
1008,13881,3907,6452383,54236974,0.281463871
1009,13881,3908,6478449,54250856,0.281535912
1010,13881,3911,6507989,54292502,0.281752035
1011,13881,3912,6581585,54306384,0.281824076
1012,13839,3871,5616353,53574640,0.279716743
1013,13839,3903,5624599,54017520,0.282029048
1014,13839,3872,5625057,53588480,0.279789002
1015,13839,3901,5924217,53989840,0.281884529
1016,13839,3893,5953989,53879120,0.281306453
1017,13839,3939,6324163,54515760,0.284630392
1018,13839,3940,6349251,54529600,0.284702652
1019,13839,3889,6349721,53823760,0.281017415
1020,13839,3888,6413173,53809920,0.280945155
1021,13839,3938,6434565,54501920,0.284558133
1022,13839,3890,6448393,53837600,0.281089674
1023,13839,3936,6580783,54474240,0.284413614
1024,13839,3922,6828413,54280480,0.283401980
1025,13793,3901,5871809,53810394,0.282824621
1026,13793,3902,5960625,53824188,0.282897122
1027,13569,3861,6606361,52393770,0.284545656
1028,13569,3862,6606859,52407340,0.284619353
1029,13569,3860,6641991,52380200,0.284471958
1030,13569,3947,7426423,53560790,0.290883632
1031,13569,3950,7562681,53601500,0.291104724
1032,13569,3955,7952857,53669350,0.291473211
1033,13473,3630,3348009,48910620,0.269427744
1034,13473,3672,3880625,49476528,0.272545090
1035,13473,3671,3957401,49463054,0.272470868
1036,13473,3673,4152937,49490002,0.272619313
1037,13473,3722,4243371,50150228,0.276256216
1038,13375,3915,7649443,52367040,0.292710280
1039,13375,3917,7742997,52393792,0.292859813
1040,13375,3916,7747461,52380416,0.292785047
1041,13375,3930,7785269,52567680,0.293831776
1042,13375,3929,7847313,52554304,0.293757009
1043,13375,3920,7854283,52433920,0.293084112
1044,13375,3931,7865585,52581056,0.293906542
1045,13375,3921,7883653,52447296,0.293158879
1046,13247,4079,9908041,54038592,0.307918774
1047,13217,3819,6804753,50479542,0.288946054
1048,13217,3818,6830803,50466324,0.288870394
1049,13217,3824,6955813,50545632,0.289324355
1050,13217,3820,7018093,50492760,0.289021714
1051,13217,3821,7049669,50505978,0.289097375
1052,13217,4010,9285185,53004180,0.303397140
1053,13217,4008,9329761,52977744,0.303245820
1054,13217,4009,9462113,52990962,0.303321480
1055,13217,4007,9494197,52964526,0.303170160
1056,13015,3392,1617033,44150272,0.260622359
1057,12985,3331,573425,43256366,0.256526762
1058,12985,3286,638817,42671996,0.253061224
1059,12985,3340,1515117,43373240,0.257219869
1060,12967,3329,512945,43170472,0.256728619
1061,12967,3331,752513,43196408,0.256882856
1062,12863,3823,7403277,49179072,0.297209049
1063,12863,3816,7505359,49089024,0.296664853
1064,12863,3805,7537039,48947520,0.295809687
1065,12863,3824,7666237,49191936,0.297286792
1066,12863,3825,7670617,49204800,0.297364534
1067,12863,3826,7685169,49217664,0.297442276
1068,12863,3821,7693889,49153344,0.297053564
1069,12863,3822,7708611,49166208,0.297131307
1070,12833,3762,6876181,48281508,0.293150471
1071,12833,3761,6988601,48268674,0.293072547
1072,12801,3474,3391289,44474148,0.271385048
1073,12801,3489,3484545,44666178,0.272556831
1074,12801,3465,3536811,44358930,0.270681978
1075,12801,3470,3739759,44422940,0.271072572
1076,12735,3344,1612603,42589184,0.262583431
1077,12735,3365,1686103,42856640,0.264232430
1078,12735,3364,1689473,42843904,0.264153907
1079,12735,3345,1750363,42601920,0.262661955
1080,12735,3342,1818885,42563712,0.262426384
1081,12735,3334,1912153,42461824,0.261798194
1082,12735,3341,1935537,42550976,0.262347860
1083,12735,3338,1955839,42512768,0.262112289
1084,12735,3340,1992793,42538240,0.262269336
1085,12735,3363,2494325,42831168,0.264075383
1086,12735,3398,2593833,43276928,0.266823714
1087,12735,3397,2625951,43264192,0.266745190
1088,12735,3399,2672779,43289664,0.266902238
1089,12735,3426,3140853,43633536,0.269022379
1090,12735,3427,3141079,43646272,0.269100903
1091,12735,3431,3169597,43697216,0.269414998
1092,12735,3428,3200561,43659008,0.269179427
1093,12735,3662,6104599,46639232,0.287553985
1094,12697,3481,4045723,44201738,0.274159250
1095,12697,3479,4117431,44176342,0.274001733
1096,12697,3487,4214553,44277926,0.274631803
1097,12697,3488,4218283,44290624,0.274710562
1098,12697,3490,4332461,44316020,0.274868079
1099,12697,3489,4500651,44303322,0.274789320
1100,12679,3581,5121233,45407080,0.282435523
1101,12679,3585,5132835,45457800,0.282751006
1102,12679,3587,5212377,45483160,0.282908747
1103,12679,3577,5344663,45356360,0.282120041
1104,12679,3584,5551829,45445120,0.282672135
1105,12679,3586,5591539,45470480,0.282829876
1106,12679,3588,5619153,45495840,0.282987617
1107,12679,3583,5709825,45432440,0.282593264
1108,12679,3589,5765691,45508520,0.283066488
1109,12679,3807,8186895,48272760,0.300260273
1110,12679,3805,8232641,48247400,0.300102532
1111,12679,3804,8324229,48234720,0.300023661
1112,12679,3806,8326985,48260080,0.300181402
1113,12679,3803,8356219,48222040,0.299944791
1114,12679,3802,8383243,48209360,0.299865920
1115,12679,3809,8470671,48298120,0.300418014
1116,12671,3175,31611,40233600,0.250572173
1117,12671,3173,71719,40208256,0.250414332
1118,12671,3179,367393,40284288,0.250887854
1119,12599,3224,758273,40622400,0.255893325
1120,12599,3223,759817,40609800,0.255813953
1121,12599,3228,804761,40672800,0.256210810
1122,12599,3230,991251,40698000,0.256369553
1123,12455,3367,2951285,41939352,0.270333200
1124,12455,3371,3119369,41989176,0.270654356
1125,12287,3245,2175593,39874560,0.264100269
1126,12287,3247,2176505,39899136,0.264263042
1127,12287,3246,2177623,39886848,0.264181655
1128,12287,3256,2229269,40009728,0.264995524
1129,12287,3252,2243833,39960576,0.264669976
1130,12287,3255,2520793,39997440,0.264914137
1131,12287,3394,3992253,41705472,0.276226906
1132,12287,3457,4728425,42479616,0.281354277
1133,12287,3749,8209339,46067712,0.305119232
1134,12287,3750,8229373,46080000,0.305200619
1135,12287,3725,8441839,45772800,0.303165948
1136,12287,3745,8610523,46018560,0.304793684
1137,12287,3746,8855073,46030848,0.304875071
1138,12257,3199,1475753,39213342,0.260993718
1139,12183,3294,2381825,40134096,0.270376754
1140,12183,3291,3160921,40097544,0.270130510
1141,12183,3366,3483209,41011344,0.276286629
1142,12057,3356,3961325,40466648,0.278344530
1143,12057,3354,4014231,40442532,0.278178651
1144,12057,3359,4047291,40502822,0.278593348
1145,12057,3358,4051017,40490764,0.278510409
1146,12057,3355,4106325,40454590,0.278261591
1147,12057,3550,6112491,42805900,0.294434768
1148,12057,3567,6351521,43010886,0.295844737
1149,12057,3553,6366681,42842074,0.294683586
1150,12057,3566,6380309,42998828,0.295761798
1151,12057,3563,6462665,42962654,0.295512980
1152,12057,3561,6477729,42938538,0.295347101
1153,12057,3562,6489573,42950596,0.295430041
1154,12057,3565,6489577,42986770,0.295678859
1155,12057,3560,6589497,42926480,0.295264162
1156,12015,3608,7605171,43353728,0.300291303
1157,12015,3609,7605209,43365744,0.300374532
1158,11841,3604,7468025,42678568,0.304366185
1159,11841,3603,7470621,42666726,0.304281733
1160,11841,3606,7553981,42702252,0.304535090
1161,11841,3607,7602209,42714094,0.304619542
1162,11841,3608,7734033,42725936,0.304703995
1163,11841,3609,7765333,42737778,0.304788447
1164,11841,3605,8020303,42690410,0.304450638
1165,11833,3465,6259215,41004810,0.292825150
1166,11833,3466,6404397,41016644,0.292909659
1167,11833,3495,6476705,41359830,0.295360433
1168,11833,3496,6492111,41371664,0.295444942
1169,11769,3437,6069453,40453490,0.292038406
1170,11769,3460,6180351,40724200,0.293992693
1171,11769,3459,6297329,40712430,0.293907724
1172,11769,3461,6332803,40735970,0.294077662
1173,11727,3478,6691657,40789984,0.296580541
1174,11489,2880,1853,33091200,0.250674558
1175,11489,2882,64399,33114180,0.250848638
1176,11489,2879,102453,33079710,0.250587518
1177,11489,2899,257553,33309510,0.252328314
1178,11489,2907,321583,33401430,0.253024632
1179,11417,3188,3759133,36400584,0.279232723
1180,11417,3191,3778879,36434838,0.279495489
1181,11417,3183,3784681,36343494,0.278794780
1182,11417,3186,3819433,36377748,0.279057546
1183,11417,3185,3827253,36366330,0.278969957
1184,11417,3224,3831181,36811632,0.282385916
1185,11417,3187,3838395,36389166,0.279145134
1186,11417,3181,3846941,36320658,0.278619602
1187,11417,3212,3849161,36674616,0.281334852
1188,11417,3213,3849213,36686034,0.281422440
1189,11417,3182,3862513,36332076,0.278707191
1190,11417,3184,3888629,36354912,0.278882368
1191,11417,3189,3897559,36412002,0.279320312
1192,11417,3193,3903777,36457674,0.279670667
1193,11417,3229,4093229,36868722,0.282823859
1194,11417,3235,4107817,36937230,0.283349391
1195,11417,3231,4121277,36891558,0.282999037
1196,11417,3232,4124433,36902976,0.283086625
1197,11417,3233,4129699,36914394,0.283174214
1198,11417,3222,4198121,36788796,0.282210738
1199,11417,3228,4239785,36857304,0.282736270
1200,11417,3243,4304659,37028574,0.284050101
1201,11417,3244,4304949,37039992,0.284137689
1202,11417,3230,4475337,36880140,0.282911448
1203,11417,3241,4493325,37005738,0.283874923
1204,11417,3242,4506997,37017156,0.283962512
1205,11417,3238,4599433,36971484,0.283612157
1206,11321,2882,752119,32630004,0.254571151
1207,11321,2883,777853,32641326,0.254659482
1208,11321,2920,857925,33060240,0.257927745
1209,11321,2918,874279,33037596,0.257751082
1210,11321,2919,875419,33048918,0.257839413
1211,11137,3560,8723045,39651280,0.319655203
1212,11137,3562,8893663,39673556,0.319834785
1213,11073,2829,582693,31328346,0.255486318
1214,10967,3095,4081601,33945960,0.282210267
1215,10967,3118,4108399,34198224,0.284307468
1216,10967,3126,4249911,34285968,0.285036929
1217,10967,3125,4262401,34275000,0.284945746
1218,10967,3124,4263343,34264032,0.284854564
1219,10967,3191,4892105,34998888,0.290963800
1220,10967,3210,4916553,35207280,0.292696271
1221,10967,3190,4949239,34987920,0.290872618
1222,10967,3189,5065759,34976952,0.290781435
1223,10967,3230,5107251,35426640,0.294519923
1224,10967,3239,5123921,35525352,0.295340567
1225,10967,3237,5199389,35503416,0.295158202
1226,10967,3231,5338269,35437608,0.294611106
1227,10967,3229,5479713,35415672,0.294428741
1228,10967,3263,5568953,35788584,0.297528950
1229,10967,3238,5609511,35514384,0.295249385
1230,10967,3262,5645165,35777616,0.297437768
1231,10967,3479,8032445,38157672,0.317224400
1232,10967,3480,8076831,38168640,0.317315583
1233,10903,3381,7235161,36866424,0.310098138
1234,10903,3380,7237481,36855520,0.310006420
1235,10903,3378,7330851,36833712,0.309822984
1236,10903,3379,7373719,36844616,0.309914702
1237,10903,3386,7426933,36920944,0.310556728
1238,10903,3377,7681093,36822808,0.309731267
1239,10841,2720,40529,29490240,0.250899364
1240,10841,2722,62081,29511924,0.251083848
1241,10841,2723,77857,29522766,0.251176091
1242,10841,2770,317133,30032340,0.255511484
1243,10841,2750,343833,29815500,0.253666636
1244,10841,2752,471785,29837184,0.253851121
1245,10841,2775,590833,30086550,0.255972696
1246,10841,2779,617031,30129918,0.256341666
1247,10841,2764,618435,29967288,0.254958030
1248,10841,2780,633897,30140760,0.256433908
1249,10841,2774,634365,30075708,0.255880454
1250,10841,2773,711675,30064866,0.255788211
1251,10841,2781,750569,30151602,0.256526151
1252,10841,2771,753861,30043182,0.255603727
1253,10841,2776,777873,30097392,0.256064939
1254,10841,2856,1911813,30964752,0.263444332
1255,10785,3062,4095481,33026732,0.283912842
1256,10785,3061,4136373,33015946,0.283820121
1257,10631,2664,223809,28323648,0.250587903
1258,10631,2746,839101,29195472,0.258301195
1259,10631,2745,947173,29184840,0.258207130
1260,10631,2748,969189,29216736,0.258489324
1261,10613,2637,365641,27989118,0.248468859
1262,10553,2931,2850901,30933774,0.277740927
1263,10553,2930,3089913,30923220,0.277646167
1264,10553,2928,3196903,30902112,0.277456647
1265,10553,2933,3309801,30954882,0.277930446
1266,10553,2929,3310005,30912666,0.277551407
1267,10537,3570,9841201,37620660,0.338806112
1268,10433,2970,3400191,30988980,0.284673632
1269,10433,2956,3734175,30842904,0.283331736
1270,10433,2955,3765545,30832470,0.283235886
1271,10433,2957,3781541,30853338,0.283427586
1272,10433,2953,3821853,30811602,0.283044187
1273,10433,2974,4007175,31030716,0.285057031
1274,10377,3352,7553921,34787056,0.323022068
1275,10377,3353,7655821,34797434,0.323118435
1276,10377,3342,7716009,34683276,0.322058398
1277,10377,3344,7762303,34704032,0.322251132
1278,10377,3343,7774773,34693654,0.322154765
1279,10377,3356,7835031,34828568,0.323407536
1280,10377,3341,7875379,34672898,0.321962031
1281,10377,3386,8031223,35139908,0.326298545
1282,10377,3384,8059749,35119152,0.326105811
1283,10377,3383,8059925,35108774,0.326009444
1284,10377,3385,8173063,35129530,0.326202178
1285,10377,3387,8185413,35150286,0.326394912
1286,10377,3382,8248961,35098396,0.325913077
1287,10377,3345,8322585,34714410,0.322347499
1288,10377,3346,8322665,34724788,0.322443866
1289,10329,3294,7001189,34027020,0.318907929
1290,10329,3341,7454673,34512530,0.323458224
1291,10329,3346,7469997,34564180,0.323942298
1292,10329,3345,7555671,34553850,0.323845484
1293,10329,3343,7603093,34533190,0.323651854
1294,10329,3329,7669581,34388570,0.322296447
1295,10329,3334,7679193,34440220,0.322780521
1296,10329,3328,7687545,34378240,0.322199632
1297,10329,3333,7697985,34429890,0.322683706
1298,10329,3342,7989821,34522860,0.323555039
1299,10329,3546,9959213,36630180,0.343305257
1300,10241,3020,4611153,30930840,0.294893077
1301,10239,2589,369149,26511360,0.252856724
1302,10239,2596,394125,26583040,0.253540385
1303,10239,2588,413631,26501120,0.252759059
1304,10239,2635,972073,26982400,0.257349351
1305,10239,2664,1198213,27279360,0.260181658
1306,10209,2596,113119,26505160,0.254285434
1307,10209,2597,113533,26515370,0.254383387
1308,10209,2598,142057,26525580,0.254481340
1309,10209,2599,349269,26535790,0.254579293
1310,10209,2612,387471,26668520,0.255852679
1311,10209,2613,389313,26678730,0.255950632
1312,10209,2617,437631,26719570,0.256342443
1313,10209,2611,469313,26658310,0.255754726
1314,10209,2604,481257,26586840,0.255069057
1315,10209,2618,481671,26729780,0.256440396
1316,10209,2600,498643,26546000,0.254677246
1317,10209,2619,516809,26739990,0.256538349
1318,10209,2610,670361,26648100,0.255656773
1319,10209,2609,688689,26637890,0.255558821
1320,10175,2593,273657,26386368,0.254840295
1321,10175,2571,314623,26162496,0.252678133
1322,10175,2594,744619,26396544,0.254938575
1323,10175,2595,745251,26406720,0.255036855
1324,10175,2837,2627713,28869312,0.278820639
1325,10175,2849,2897193,28991424,0.280000000
1326,10175,2857,2904473,29072832,0.280786241
1327,10175,2859,2905039,29093184,0.280982801
1328,10175,2864,2907891,29144064,0.281474201
1329,10175,2858,2913379,29083008,0.280884521
1330,10175,2848,2917431,28981248,0.279901720
1331,10175,2861,3051019,29113536,0.281179361
1332,10175,2862,3171315,29123712,0.281277641
1333,10175,2860,3197093,29103360,0.281081081
1334,10175,2863,3383157,29133888,0.281375921
1335,10175,3215,6672133,32715840,0.315970516
1336,10175,3213,6688543,32695488,0.315773956
1337,10175,3216,6689853,32726016,0.316068796
1338,10175,3209,6718917,32654784,0.315380835
1339,10175,3214,6724459,32705664,0.315872236
1340,10175,3210,6905613,32664960,0.315479115
1341,10175,3211,6911225,32675136,0.315577396
1342,10175,3219,6965623,32756544,0.316363636
1343,10175,3217,7086041,32736192,0.316167076
1344,10175,3208,7214045,32644608,0.315282555
1345,10175,3218,7494951,32746368,0.316265356
1346,10175,3385,8498803,34445760,0.332678133
1347,10175,3392,8579521,34516992,0.333366093
1348,10175,3386,8588325,34455936,0.332776413
1349,10175,3414,8617993,34740864,0.335528256
1350,10175,3416,9146765,34761216,0.335724816
1351,10071,2749,2151785,27687928,0.272961970
1352,10071,2737,2166489,27567064,0.271770430
1353,10071,2731,2211831,27506632,0.271174660
1354,10071,2748,2351557,27677856,0.272862675
1355,10071,2761,2477599,27808792,0.274153510
1356,10071,2771,2735205,27909512,0.275146460
1357,10071,2772,2758099,27919584,0.275245755
1358,10071,3158,6604893,31807376,0.313573627
1359,10071,3165,6656021,31877880,0.314268692
1360,10071,3166,6689781,31887952,0.314367987
1361,10063,3456,9312433,34781184,0.343436351
1362,10063,3472,9358077,34942208,0.345026334
1363,10063,3468,9364625,34901952,0.344628838
1364,10063,3471,9364723,34932144,0.344926960
1365,10063,3469,9378253,34912016,0.344728212
1366,10063,3470,9378541,34922080,0.344827586
1367,10063,3460,9379441,34821440,0.343833847
1368,10063,3465,9406281,34871760,0.344330716
1369,10063,3473,9413419,34952272,0.345125708
1370,10063,3474,9415671,34962336,0.345225082
1371,10063,3466,9438739,34881824,0.344430090
1372,10063,3459,9445229,34811376,0.343734473
1373,10063,3464,9452705,34861696,0.344231343
1374,10063,3458,9457879,34801312,0.343635099
1375,10063,3482,9481039,35042848,0.346020074
1376,10063,3467,9522593,34891888,0.344529464
1377,10063,3481,9527443,35032784,0.345920700
1378,10063,3495,9601617,35173680,0.347311935
1379,10063,3496,9603463,35183744,0.347411309
1380,10063,3498,9618433,35203872,0.347610057
1381,10063,3497,9636521,35193808,0.347510683
1382,10063,3493,9678213,35153552,0.347113187
1383,10063,3486,9693943,35083104,0.346417569
1384,10063,3489,9703889,35113296,0.346715691
1385,10063,3485,9737041,35073040,0.346318195
1386,10063,3506,9773641,35284384,0.348405048
1387,10063,3483,9809525,35052912,0.346119447
1388,10063,3509,9819817,35314576,0.348703170
1389,10063,3512,9866839,35344768,0.349001292
1390,10063,3518,9953861,35405152,0.349597536
1391,9943,3476,9811279,34565344,0.349592678
1392,9903,2860,3628445,28325440,0.288801373
1393,9903,2859,3629113,28315536,0.288700394
1394,9897,3333,8357337,32990034,0.336768718
1395,9897,3328,8383377,32940544,0.336263514
1396,9897,3332,8410371,32980136,0.336667677
1397,9897,3335,8412029,33009830,0.336970799
1398,9897,3334,8421305,32999932,0.336869759
1399,9897,3331,8422505,32970238,0.336566636
1400,9897,3329,8430089,32950442,0.336364555
1401,9897,3337,8571905,33029626,0.337172881
1402,9897,3330,8806845,32960340,0.336465596
1403,9889,2688,2042179,26584320,0.271817171
1404,9889,3451,9565809,34130390,0.348973607
1405,9889,3450,9680889,34120500,0.348872485
1406,9889,3481,9744729,34427090,0.352007281
1407,9889,3480,9803803,34417200,0.351906158
1408,9889,3484,9819837,34456760,0.352310648
1409,9889,3472,9832809,34338080,0.351097179
1410,9889,3479,9863677,34407310,0.351805036
1411,9889,3486,9877761,34476540,0.352512893
1412,9889,3485,9888951,34466650,0.352411771
1413,9889,3483,9954357,34446870,0.352209526
1414,9889,3482,9963309,34436980,0.352108403
1415,9887,2491,289159,24631008,0.251947001
1416,9849,2879,4110041,28358150,0.292313941
1417,9849,2880,4383079,28368000,0.292415474
1418,9817,2688,2043657,26390784,0.273810736
1419,9817,2702,2252977,26528236,0.275236834
1420,9817,2701,2288729,26518418,0.275134970
1421,9817,2689,2317423,26400602,0.273912601
1422,9817,2700,2319859,26508600,0.275033106
1423,9817,2703,2378741,26538054,0.275338698
1424,9817,2690,2434269,26410420,0.274014465
1425,9817,2762,2637403,27117316,0.281348681
1426,9817,2779,2868905,27284222,0.283080371
1427,9817,2771,2880489,27205678,0.282265458
1428,9817,2778,2899649,27274404,0.282978507
1429,9817,2773,2931945,27225314,0.282469186
1430,9817,2777,2932723,27264586,0.282876643
1431,9817,2772,2952365,27215496,0.282367322
1432,9817,2781,3101145,27303858,0.283284099
1433,9817,2789,3102161,27382402,0.284099012
1434,9817,2760,3123255,27097680,0.281144953
1435,9817,2786,3148077,27352948,0.283793420
1436,9817,2784,3156665,27333312,0.283589691
1437,9817,2810,3167503,27588580,0.286238158
1438,9817,2785,3169989,27343130,0.283691555
1439,9817,2813,3187971,27618034,0.286543751
1440,9817,2780,3194393,27294040,0.283182235
1441,9817,2802,3290381,27510036,0.285423245
1442,9817,2782,3334913,27313676,0.283385963
1443,9817,2798,3385519,27470764,0.285015789
1444,9817,2811,3484635,27598398,0.286340022
1445,9817,2797,3497113,27460946,0.284913925
1446,9817,2821,3497857,27696578,0.287358664
1447,9817,2823,3510615,27716214,0.287562392
1448,9817,2814,3514829,27627852,0.286645615
1449,9817,2819,3521609,27676942,0.287154935
1450,9817,2815,3525089,27637670,0.286747479
1451,9817,2818,3525449,27667124,0.287053071
1452,9817,2832,3565153,27804576,0.288479169
1453,9817,2816,3641013,27647488,0.286849343
1454,9817,2825,3662789,27735850,0.287766120
1455,9817,2836,3687561,27843848,0.288886625
1456,9817,2822,3860893,27706396,0.287460528
1457,9793,3242,7772115,31752148,0.331052793
1458,9793,3243,7884555,31761942,0.331154907
1459,9793,3244,7974193,31771736,0.331257020
1460,9775,3414,9380229,33375264,0.349258312
1461,9775,3422,9457695,33453472,0.350076726
1462,9775,3423,9516555,33463248,0.350179028
1463,9775,3420,9667251,33433920,0.349872123
1464,9775,3427,9721423,33502352,0.350588235
1465,9775,3428,9842861,33512128,0.350690537
1466,9761,3232,7604481,31550784,0.331113615
1467,9761,3233,7604511,31560546,0.331216064
1468,9761,3370,9048553,32897940,0.345251511
1469,9689,2818,3700399,27306420,0.290845288
1470,9689,2827,3778791,27393630,0.291774177
1471,9689,2821,3823673,27335490,0.291154918
1472,9689,2828,3826311,27403320,0.291877387
1473,9689,2848,3830779,27597120,0.293941583
1474,9689,2847,3833211,27587430,0.293838373
1475,9689,2849,3865229,27606810,0.294044793
1476,9689,2850,3882097,27616500,0.294148003
1477,9689,2853,3898491,27645570,0.294457632
1478,9689,2852,3901993,27635880,0.294354423
1479,9689,2851,3977023,27626190,0.294251213
1480,9689,2857,4192005,27684330,0.294870472
1481,9503,2878,4827913,27352512,0.302851731
1482,9441,2464,863571,23265088,0.260989302
1483,9441,2463,932797,23255646,0.260883381
1484,9441,2465,949681,23274530,0.261095223
1485,9441,2560,1686001,24171520,0.271157716
1486,9441,2935,5298689,27712270,0.310878085
1487,9441,2934,5319823,27702828,0.310772164
1488,9441,2933,5335071,27693386,0.310666243
1489,9441,2932,5383197,27683944,0.310560322
1490,9441,2942,5453053,27778364,0.311619532
1491,9441,2943,5511345,27787806,0.311725453
1492,9441,3171,7813681,29940582,0.335875437
1493,9433,3018,6014677,28471812,0.319940634
1494,9433,3021,6018213,28500114,0.320258666
1495,9433,3022,6022071,28509548,0.320364677
1496,9433,3023,6032961,28518982,0.320470688
1497,9433,3024,6061173,28528416,0.320576699
1498,9433,3025,6085333,28537850,0.320682710
1499,9433,3020,6097017,28490680,0.320152656
1500,9433,3019,6156545,28481246,0.320046645
1501,9433,3096,6876799,29207664,0.328209477
1502,9433,3100,6920091,29245400,0.328633521
1503,9433,3095,6922857,29198230,0.328103467
1504,9433,3097,6943611,29217098,0.328315488
1505,9433,3102,6963245,29264268,0.328845542
1506,9295,2965,6001917,27562640,0.318988704
1507,9295,2961,6083091,27525456,0.318558365
1508,9295,2985,6177089,27748560,0.321140398
1509,9295,2984,6185697,27739264,0.321032813
1510,9295,2983,6219329,27729968,0.320925229
1511,9295,2957,6371937,27488272,0.318128026
1512,9113,2386,850243,21746004,0.261823768
1513,9097,3319,9380775,30196262,0.364845553
1514,9097,3318,9411005,30187164,0.364735627
